# Acid Tests baseline - captured GB frames, 160x144 PNG.
# emulator: gameroy
# generated: Wed, 22 Jul 2026 22:44:38 +0000
# source: https://tomek.rekawek.eu/GBEmulatorShootout/
# name|status|frames|image
acid/which.gb (DMG)|INFO|0|acid/which.gb (DMG).png
daid/rom_and_ram.gb|INFO|0|daid/rom_and_ram.png
mooneye/acceptance/add_sp_e_timing.gb|PASS|0|mooneye/acceptance/add_sp_e_timing.png
mooneye/acceptance/bits/mem_oam.gb|PASS|0|mooneye/acceptance/bits/mem_oam.png
mooneye/acceptance/bits/reg_f.gb|PASS|0|mooneye/acceptance/bits/reg_f.png
mooneye/acceptance/bits/unused_hwio-GS.gb|PASS|0|mooneye/acceptance/bits/unused_hwio-GS.png
mooneye/acceptance/boot_div-dmgABCmgb.gb|PASS|0|mooneye/acceptance/boot_div-dmgABCmgb.png
mooneye/acceptance/boot_hwio-dmgABCmgb.gb|PASS|0|mooneye/acceptance/boot_hwio-dmgABCmgb.png
mooneye/acceptance/boot_regs-dmgABC.gb|PASS|0|mooneye/acceptance/boot_regs-dmgABC.png
mooneye/acceptance/call_cc_timing.gb|PASS|0|mooneye/acceptance/call_cc_timing.png
mooneye/acceptance/call_cc_timing2.gb|PASS|0|mooneye/acceptance/call_cc_timing2.png
mooneye/acceptance/call_timing.gb|PASS|0|mooneye/acceptance/call_timing.png
mooneye/acceptance/call_timing2.gb|PASS|0|mooneye/acceptance/call_timing2.png
mooneye/acceptance/div_timing.gb|PASS|0|mooneye/acceptance/div_timing.png
mooneye/acceptance/di_timing-GS.gb|PASS|0|mooneye/acceptance/di_timing-GS.png
mooneye/acceptance/ei_sequence.gb|PASS|0|mooneye/acceptance/ei_sequence.png
mooneye/acceptance/ei_timing.gb|PASS|0|mooneye/acceptance/ei_timing.png
mooneye/acceptance/halt_ime0_ei.gb|PASS|0|mooneye/acceptance/halt_ime0_ei.png
mooneye/acceptance/halt_ime0_nointr_timing.gb|PASS|0|mooneye/acceptance/halt_ime0_nointr_timing.png
mooneye/acceptance/halt_ime1_timing.gb|PASS|0|mooneye/acceptance/halt_ime1_timing.png
mooneye/acceptance/halt_ime1_timing2-GS.gb|PASS|0|mooneye/acceptance/halt_ime1_timing2-GS.png
mooneye/acceptance/if_ie_registers.gb|PASS|0|mooneye/acceptance/if_ie_registers.png
mooneye/acceptance/instr/daa.gb|PASS|0|mooneye/acceptance/instr/daa.png
mooneye/acceptance/interrupts/ie_push.gb|PASS|0|mooneye/acceptance/interrupts/ie_push.png
mooneye/acceptance/intr_timing.gb|PASS|0|mooneye/acceptance/intr_timing.png
mooneye/acceptance/jp_cc_timing.gb|PASS|0|mooneye/acceptance/jp_cc_timing.png
mooneye/acceptance/jp_timing.gb|PASS|0|mooneye/acceptance/jp_timing.png
